,name,headline
556,WellSpan Health,For the journey that is life.
557,Wesley Medical Center,Intensive Caring
558,West Calcasieu Cameron Hospital,"Your need, our commitment."
559,West Georgia Health System,So healthy together
560,West Jefferson Medical Center,Our family caring for your family 
561,West Kendall Baptist Hospital,Healthcare that Cares
562,Western Arizona Regional Medical Center,Better Healthcare Starts Here
563,Western Maryland Health System,Superior Care...Surprisingly close
564,Westminster Canterbury,Live Life Well
565,Wheeling Hospital,A Tradition of Excellence. A Legacy of Caring.
566,Witham Health Services,Small Hospital. Big Hospital.
567,William Backus Hospital,Choose Wisely. Choose Backus.
568,Williamson Medical Center,Expect excellence.
569,Willough Healthcare System,Treatment with strength and compassion
570,Wilson Medical Center,Choose Well. Choose Wilson
571,Winchester Medical Center,"Healthier, together."
572,Winter Haven Hospital,Compassion. Innovation. Trust
573,Winthrop University Hospital,Your Health Means Everything.
574,Woodridge Hospital,Bringing loving care to health care
575,Wythe County Community Hospital,Passion for Healthcare
576,Yampa Valley Medical Center,Your Health. Elevated.
577,Yuma Regional Medical Center,Caring for the growing needs of our community.
