,name,headline
979,Europlan,Leasing for growth.
980,McGoldrick Leasing,For all your leasing needs.
981,Kisco Leasing,Supplying your agricultural needs.
982,Alliance & General Leasing,Professional funding matters.
983,Equipment Leasing and Finance Association,Equipping business for success.
984,Volga-Leasing Company in Russia,Ready to become a leader? We'll help you!
985,American Leasing Corporation,"Large enough to serve you, small enough to know you."
986,OPM Leasing,Whatever your financial requirement we have a solutions for you.
987,State Farm Insurance Company,"For all the nevers in life, State Farm is there."
988,State Farm Insurance Company,Get to a better State.
989,State Farm Insurance Company,"Like a good neighbor, State Farm is there."
990,Allstate Insurance Company,You're in good hands.
991,Allstate Insurance Company,Good hands for the good life.
992,Allstate Insurance Company,You’re in good hands with Allstate.
993,MetLife,I can do this.
994,MetLife,Guarantees for the if in life.
995,MetLife,Have you met life today?
996,Farmers Insurance,We are Farmers.
997,Farmers Insurance,Gets you back where you belong.
998,AXA Insurance Company,Redefining standards.
999,AXA Insurance Company,Be life confident.
1000,AXA Insurance Company,Go ahead. Go ahead with AXA.
1001,Transamerica,Transform tomorrow.
1002,Transamerica,The power of the Pyramid.
1003,New York Life Insurance Company,Keep good going.
1004,New York Life Insurance Company,New York Life. The company you keep.
1005,Aflac,We've got you under our wing.
1006,Aflac,"Without it, no insurance is complete."
1007,"Aviva, British insurance company",For life's little dramas.
1008,"Aviva, British insurance company",Taking care of what's important.
1009,Norwich Union Direct,The home of home insurance.
1010,Norwich Union Direct,Let us quote you happy.
1011,Norwich Union Direct,Make sense of it with Norwich Union.
1012,Pacific Life Insurance Company,The power to help you succeed.
1013,"Chubb, property and casualty insurer",Chubb. Insured.
1014,"Chubb, property and casualty insurer",Insurance against regret.
1015,"Chubb, property and casualty insurer",Relax. You're insured with Chubb.
1016,Allianz,Insurance solutions from A to Z.
1017,Allianz,"Be sure, not just insured."
1018,Allianz,You can trust Allianz.
1019,"Allianz Life, retirement & life insurance solutions",For all that's ahead.
1020,Mutual of Wausau Insurance Corporation,We have a mutual interest - you.
1021,Amica Mutual Insurance Company,Helpfulness insured.
1022,Amica Mutual Insurance Company,We keep our promises to you.
1023,Guardian Life,Enriching the lives of people we touch.
1024,American National Insurance Company,The company to remember for life.
1025,Gerber Life Insurance Company,Give your child an advantage for life.
1026,Discover Credit Card,We treat you like you'd treat you.
1027,Discover Credit Card,It pays to Discover.
1028,Discover Card Customer Service,Here to help. Not to sell.
1029,Diners Club Credit Cards,Belong.
1030,Diners Club Credit Cards,Travel in good company.
1031,UnionPay Credit Cards,Explore the world with UnionPay.
1032,JCB Credit Cards in Japan,Uniquely yours.
1033,Visa,Everywhere you want to be.
1034,Visa,Life flows better with Visa.
1035,Visa,The future takes Visa.
1036,Visa,Yes you can.
1037,Visa,Makes the world go round.
1038,Visa Business,It's everywhere you want your business to be.
1039,"RushCard, prepaid Visa card","Finally, access for everyone."
1040,Barclaycard,Only Barclaycard.
1041,Barclaycard,Making payment simpler.
1042,Barclaycard,Get more out of plastic.
1043,MasterCard,Priceless.
1044,MasterCard,There are some things money can't buy. For everything else there's Mastercard.
1045,MasterCard,The future of money.
1046,World Mastercard,More living. Less limits.
1047,MasterCard Corporate,Helping you find profits in new places.
1048,"1st Commercial Credit, factoring company","As your business grows, we deliver the funds."
1049,"Paragon Financial Group, factoring company in Florida",Money when your business needs it most.
1050,Factor Funding Company in Houston,Funding America's growing businesses.
1051,"K.W. Receivables, factoring firm in Houston",Grow your business with working capital.
1052,"J D Factors, financial firm in the USA",Charting a path to growth.
1053,"Alex Lawrie Factors, factoring services",An asset to your business.
1054,"Alex Lawrie Factors, factoring services","Fact is, we're No.1 for factoring."
1055,"Alex Lawrie Factors, factoring services",Tailored finance for growth.
1056,"Regency Factors, invoice finance company",The invoice finance specialists.
1057,Canbank Factors Ltd. in Bangalore,We take care of your financial worries.
1058,"Accord Financial, factoring for small and medium sized business",Keeping business liquid.
1059,"RMP Capital, factoring solutions for small and medium sized business",We make funding your business easier!
1060,"Creative Capital Associates, factoring company in Silver Spring",You work. We fund.
1061,ACE Group,Insuring progress.
1062,ACE Group,Take away the risk and you can do anything.
1063,"RBC Insurance, Canada",First for you.
1064,Western National Insurance,The relationship company.
1065,Penn National Insurance,Feel secure.
1066,Alaska National,Service leader in commercial insurance.
1067,Keystone National Insurance Company,"Taking the risk out of your home, farm or business..."
1068,Michigan State University,Who will? Spartans will.
1069,Iowa State University,Enjoy the adventure.
1070,Indiana University,Fulfilling the promise.
1071,Indiana University East,IU focused on you.
1072,Indiana State University,More. From day one.
1073,Texas Lutheran University,Learn boldly. Live to inspire.
1074,Texas Lutheran University,"Get an education, not just a degree."
1075,Temple University in Philadelphia,Temple made.
1076,Citibank,Your Citi never sleeps
1077,Citibank,Because the Citi never sleeps
1078,Citibank,Citi. Live Richly
1079,Citibank,The whole world in one bank.
1080,Citibank,Where money lives
1081,Capital One Bank,What's in your wallet?
1082,Bank of America,Bank of America. Higher Standards
1083,Bank of America,Embracing ingenuity
1084,Bank of America,Think what we can do for you
1085,Midland Bank (was founded in 1836 and in 1992 became part of the HSBC group),Midland Bank. Come and talk to the listening bank
1086,Midland Bank (was founded in 1836 and in 1992 became part of the HSBC group),Together we make a great team
1087,"HSBC Bank (has more than 5,500 offices spread over 79 countries)",HSBC. The world's local bank
1088,Dresdner Bank,Dresdner Bank. Advice you can bank on
1089,Deutsche Bank,Deutsche Bank. A passion to Perform.
1090,Deutsche Bank,Leading to results
1091,"Centurion Bank, India",Centurion Bank. We value your time
1092,COOP Swiss Bank,COOP. The clean Swiss bank.
1093,Master Charge (now MasterCard),Relax. You've got Master Charge.
1094,Eurocard,Wherever you go.
1095,Maestro Debit Card,The new cash.
1096,Maestro Debit Card,Maestro. So simple.
1097,Switch Debit Card (now Maestro),Your money at home and abroad.
1098,Citi Double Cash,Double means double.
1099,Citibank AAdvantage,Never miss another mile.
1100,BankAmericard,Today's way to pay.
1101,BankAmericard,Think of it as money.
1102,Ford Citibank Card,Get the card that gets you the car.
1103,Access Credit Cards in England and Ireland,It takes the waiting out of wanting.
1104,Access Credit Cards in England and Ireland,Your flexible friend.
1105,BOBCards in India,Credit power booster.
1106,SBI Credit Card in India,Make life simple.
1107,Marbles Credit Cards,Use your Marbles.
1108,Sony Card from Capital One,It's your window to the things you want.
1109,"Creative Capital Associates, factoring company in Silver Spring",Enabling emerging growth.
1110,Canada Factoring,True funding solutions.
1111,"USA Factoring, invoice factoring services",We help you succeed!
1112,"CapitalPlus, invoice factoring for construction industry",Your success. Our capital.
1113,"PMF Bancorp, invoice factoring company",Working capital worldwide.
1114,"AIM Business Capital, accounts receivable factoring",Partnering with you to facilitate growth.
1115,"Far West Capital, invoice and accounts receivable factoring services",Unleash your potential.
1116,"Smart Factoring Quotes, invoice factoring company",Generate cash the smart way.
1117,"Power Funding, factoring company in Texas",Giving you the power to grow your business.
1118,"FCI, Factors Chain International, network of factoring companies",FCI. Factoring spreading its wings.
1119,Stanford University,Grasp the forces driving the change.
1120,Washington State University,World class. Face to face.
1121,Elon University in North Carolina,A world of opportunities.
1122,"Ryerson University in Toronto, Canada",Wisdom. Applied.
1123,Furman University in South Carolina,Engage.
1124,Texas A&M University,It's time for Texas A&M.
1125,Texas A&M University San Antonio,Where dreams become reality!
1126,York University in Toronto,Redefine the possible.
1127,"La Trobe University in Melbourne, Australia",Make a difference.
1128,"La Trobe University in Melbourne, Australia",Thinking aloud.
1129,The University of Melbourne in Australia,Make your studies worth living.
1130,Louisiana Tech University,The tech.
1131,"Grand Canyon University in Phoenix, Arizona",Find your purpose.
1132,Hofstra University,Pride and purpose.
1133,Hofstra University,We teach success.
1134,Colorado State University,Find your state.
1135,Colorado Christian University,Go beyond.
1136,"Valparaiso University in Indiana, United States",In other words... Valpo.
1137,"Timesbank, India",Timesbank. The power to do more
1138,"BankSA, South Australia",BankSA. The bank of South Australians
1139,"Citizens Bank, USA",Not Your Typical Bank
1140,PNC Bank,The Thinking Behind the Money
1141,"Commerzbank, Germany",Commerzbank. Ideas ahead.
1142,Southern Methodist University,World changers shaped here.
1143,"Ball State University in Muncie, USA",Where our learners become leaders.
1144,"Ball State University in Muncie, USA",Education redefined.
1145,Auburn University,Because this is Auburn.
1146,"Kennesaw State University in Georgia, USA",Global thinkers. Engaged leaders.
1147,"Kennesaw State University in Georgia, USA",We'll take you higher.
1148,Marquette University in Milwaukee,Be the difference.
1149,"University of Liverpool, UK",Investing in knowledge.
1150,"London South Bank University, UK",Become what you want to be.
1151,"Toronto Star, major Canadian newspaper",Toronto Star. It's where you live.
1152,"Sowetan, South Africa's daily newspaper",Power your Future.
1153,"Sowetan, South Africa's daily newspaper",Sowetan. Building the Nation.
1154,"Daily Times newspaper, Lahore, Pakistan",Your right to know. A new voice for a new Pakistan.
1155,Indian Express newspaper,Indian Express. Journalism of courage.
1156,"Cape Argus, an afternoon newspaper, Cape Town, South Africa",Cape Argus. News you can use.
1157,Nasha Canada newspaper (biweekly ethnic newspaper on Russian language),The newspaper for those who can read.
1158,"Scotland On Sunday, broadsheet newspaper",Scotland up close.
1159,"Courier News, Bridgewater, New Jersey, USA",Local News. First in the Morning.
1160,The Scotsman newspaper,The Scotsman. It's thinking time.
1161,Edinburgh Evening News newspaper,Evening News. Tomorrow's News Today.
1162,"The Australian, Australia's national daily newspaper",Are you an informed Australian?
1163,"The Daily Telegraph, broadsheet newspaper, UK",We've got the greatest writers.
1164,"The Daily Telegraph, broadsheet newspaper, UK",Read a bestseller every day.
1165,"The Daily Telegraph, broadsheet newspaper, UK",Daily Telegraph. Britain's Best Selling Daily Broadsheet.
1166,"The Daily Telegraph, broadsheet newspaper, UK",Daily Telegraph. Share Trader Game.
1167,"Wairarapa Times-Age daily newspaper, Masterton, New Zealand",Your Region. Your Paper.
1168,"The Sunday Herald, Scotland",Sunday Herald. Seven Days. One paper.
1169,"The Sun, a British tabloid newspaper",The Sun. We love it!
1170,"Daily Express, a British tabloid newspaper",The paper that stands for real values and gives you real value for money.
1171,"The Sunday Post, Scottish newspaper",The Sunday Post. It makes perfect sense.
1172,"Thisday, Nigeria's newspaper",Thisday. African views on global news.
1173,"Scottsbluff Star-Herald, Nebraska, USA",The Star-Herald. Pride in the Panhandle.
1174,"Waikato Times, Waikato, New Zealand",As Waikato As It Gets.
1175,"The Guardian, a British daily newspaper",The Guardian. Think...
1176,"The News of the World, Britain's newspaper",Big on Sundays.
1177,Sylvan Learning Tutoring Company,Learning feels good.
1178,Sylvan Learning Tutoring Company,Success is learned.
1179,Kip McGrath Education Centres,Leaders in learning.
1180,Kip McGrath Education Centres,Where students really improve.
1181,"Fleet Tutors, tutoring agency in the UK",Helping students reach their potential.
1182,"Kumon Learning Centers, after school math and reading programs",Math. Reading. Success.
1183,"Academic Advantage, home tutoring services",The trusted name for specialized tutoring.
1184,The Tutoring Center,Your child's future begins here.
1185,"LA Tutors 123, tutoring company in Los Angeles",Learning as easy as 123.
1186,"Summit Prep, tutoring company in New Jersey",Strive for excellence.
1187,"StudyPoint, in-home tutoring",Personalized tutoring for success.
1188,"Summit Saturday School in London, exam preparation",We give you the tools to climb mountains.
1189,"Tutoring Club, education centers for students",A class above. Guaranteed.
1190,Tutoring Pros,Empowering people to believe.
1191,Tutoring Plus,At the heart of learning.
1192,"The Student Tutoring Network, where students for a fee teach other students",Helping students help themselves.
1193,Liberty Tutoring Company in Canada,On their own way.
1194,Premier Tutoring Company,The trusted name for in-home tutoring.
1195,"Matrix Education, tutoring college in Sydney",Our students come first.
1196,TutorNerds,Top tutors in every subject.
1197,"MyPrivateTutor, marketplace for search local tutors in India",The best tutors in town.
1198,"TutorNation.com, site for search tutors",People teach. People learn. This is where they connect.
1199,"Tutor Hunt Service, on-line network",Discover new learning possibilities.
1200,"First Tutors, service that helps find private tutors across the UK",First for your tuition needs.
1201,"TutorsTeach, site for search tutors and home instructors",Brings the tutoring to your home.
1202,"UK Tutors, online tutor matching service",Meeting all your tuition needs.
1203,"Tutor-ads.com, online tutor classifieds",Where students meet tutors.
1204,Golden Tutoring & Enrichment,Where young minds thrive.
1205,Novastar Prep,Learn with confidence.
1206,Thorup Tutoring,We help your child learn to succeed.
1207,"Tutorial Canada, home tutoring services",Education through motivation and inspiration.
1208,Tutoring For Excellence,Maximising potential through individual attention.
1209,Eastern Virginia Medical School,Community focus. World impact.
1210,Eastern Virginia Medical School,Improving the health of the community.
1211,"MCW, Medical College of Wisconsin",We practice what we teach.
1212,"LSTM, Liverpool School of Tropical Medicine",Researching and educating to save lives.
1213,"LSTM, Liverpool School of Tropical Medicine",A culture of excellence.
1214,Morehouse School of Medicine in Atlanta,Knowledge. Wisdom. Excellence. Service.
1215,"University of Rochester, School of Medicine and Dentistry",Medicine of the highest order.
1216,Charles R. Drew University of Medicine and Science,A private university with a public mission.
1217,Charles R. Drew University of Medicine and Science,Pioneering in health and education.
1218,Virginia Commonwealth University School of Medicine,"Every day, a new discovery."
1219,"Meharry Medical College in Nashville, educator of black physicians",Worship of God through service to mankind.
1220,"Oregon Health and Science University, education and research","Where healing, teaching and discovery come together."
1221,"University of Leeds, Faculty of Medicine and Health",Expertise built on knowledge. Reputation built on success.
1222,The Medical University of South Carolina,Changing what's possible.
1223,The Medical University of South Carolina,Discovering. Understanding. Healing.
1224,Faculty of Medicine at Memorial University of Newfoundland,Building a healthy tomorrow.
1225,"Chartwell School, Seaside, USA, educates children with language-related learning variations, including dyslexia",Chartwell. Because not all great minds think alike.
1226,"Ann Arbor Academy, USA, a private, non-profit day school for those who may have been diagnosed with a learning disability or difference",Ann Arbor Academy. A school as unique as the minds we teach.
1227,"Hamlin Robinson School, an independent school in Seattle offering a specialized program for students with dyslexia and related language difficulties",Where learning has no limits.
1228,"Lawrence School, Broadview Heights, Ohio , an independent day school serving students in grades K-12 with learning differences and attention deficits",Teach! Ignite! Inspire!
1229,"Lawrence School, Broadview Heights, Ohio , an independent day school serving students in grades K-12 with learning differences and attention deficits",Great minds don't think alike.
1230,"Landmark College, a fully accredited two-year college in Vermont exclusively for students with dyslexia, ADD or specific learning disabilities",Landmark College. Take a different path.
1231,"Westmark School, Encino, California, a private non-profit school for students in grades 2-12 with diagnosed learning differences and at least average intellectual potential",Westmark School. Discover Your Path to Success.
1232,"Walbridge School, Madison, USA, dedicated to teaching in kindergarten through eighth grade for kids with learning disabilities such as Dyslexia, ADHD/ADD, cognitive processing and organization",Walbridge School. Education that works.
1233,The British Library,Explore the world's knowledge.
1234,Calgary Public Library,Everything you're into.
1235,Calgary Public Library,You find it where? Calgary Public Library!
1236,Kitchener Public Library,Where community connects.
1237,Kitchener Public Library,Imagine. Discover. Connect.
1238,Oshawa Public Libraries,Far more than you expect.
1239,Edmonton Public Library,Spread the words.
1240,Plainfield Public Library,Educate - captivate - connect.
1241,"Surrey Libraries, Canada",Discover. Connect. Inspire.
1242,Boston Public Library,Books are just the beginning.
1243,Chicago Public Library,"Read, learn, discover."
1244,"Cofrin Library, University of Wisconsin",Your guide to answers.
1245,"Dunedin Public Library, Florida",Keys to the past... Gateway to the future.
1246,Pittsburg Public Library,"Preserving the past, opening the future."
1247,Jacksonville Public Library,Start here. Go anywhere!
1248,"National Forest Service Library, USA",...find it here.
1249,"The Women's Library, UK",Celebrating and recording women's lives.
1250,The London Library,Stacks of inspiration.
1251,Westbank Library,Expand your world.
1252,"Pass4Sure, IT certification material provider, provides practice tests for the most popular vendor certifications",Pass4Sure. Guaranteed way to get certified.
1253,"EC Council, trained individuals and certified security professionals, offers certifications in ethical hacker, computer security, network security, internet security program and computer forensics",EC Council. Hackers are here. Where are you?
1254,"Careersaver, providing quality educational materials to the IT industry and professionals, Microsoft and Cisco certification training courses online",Careersaver. Keeping IT professionals afloat.
1255,"Learnthat.com, free online software tutorials, training and courses in various topics, certifications, popular computer software applications by Jeremy Reis",Because great minds learn a lot.
1256,"MTC Training, Sunderland, UK, provider of accredited IT training for Microsoft, Novell, Citrix, Red Hat Linux, Cisco",MTC Training. Connecting you to IT education.
1257,Albany College of Pharmacy and Health Sciences,Sciences for life.
1258,University of Arkansas for Medical Sciences,Where medicine lives.
1259,Albert Einstein College of Medicine,Science at the heart of medicine.
1260,"The University of Texas, Medical Branch at Galveston",Working together to work wonders.
1261,"The University of Texas, Medical Branch at Galveston",Here for the health of Texas.
1262,Weill Cornell Medical College in New York City,Discoveries that make a difference.
1263,Saint Francis Medical Center College of Nursing,A tradition of excellence in nursing education.
1264,David Geffen School of Medicine at UCLA,Shaping the future.
1265,Northern Ontario School of Medicine,Innovative education and research for a healthier north.
1266,"Stratford Career Institute, a privately owned correspondence school, distance education. At-home vocational training programs to students in North America",The affordable way to train at home.
1267,The European Library,Connecting knowledge.
1268,Parsippany Public Library,A world of ideas.
1269,Seaford District Library,Building our future. Page by page.
1270,Quarryville Library,For fun. For learning. For everyone.
1271,Sylvan Lake Municipal Library,Let knowledge be your sail.
1272,Worcester Public Library,Your open door to opportunity.
1273,"Richmond Public Library, Canada",Go anywhere. Learn anything. Read every day.
1274,The Public Library of Cincinnati and Hamilton County,Connecting people with the world of ideas and information.
1275,Brooklyn Law School,BLS - a great place to learn and experience the law.
1276,Cornell Law School,Lawyers in the best sense.
1277,Thomas M. Cooley Law School,Knowledge. Skills. Ethics.
1278,Melbourne Law School,"Australia's first, Australia's global."
1279,"California School of Law, online legal education",Bringing law school into your home.
1280,Sandra Day O'Connor College of Law at Arizona State University,Legal education in the future tense.
1281,Sandra Day O'Connor College of Law at Arizona State University,"Assist, analyze, and discern."
1282,California Western School of Law in San Diego,What law school ought to be.
1283,San Joaquin College of Law,One degree. A world of options.
1284,The University of West Los Angeles School Of Law,Change your life - become an attorney!
1285,CUNY School of Law,Law in the service of human needs.
1286,Seattle University School of Law,Educating powerful advocates for justice.
1287,Seattle University School of Law,Establish justice.
1288,Seattle University School of Law,Connecting the mind to what matters.
1289,Boston University School of Law,B prepared.
1290,Boston University School of Law,"Teaching, curriculum, and job placement."
1291,The University of Alabama School of Law,Combining great tradition with great promise.
1292,Stetson University College of Law,Florida's first law school.
1293,George Mason University School of Law,"Young, vigorous, new generation."
1294,Capital University Law School in Columbus,Links to a more fulfilling future in law.
1295,Capital University Law School in Columbus,The faces of leadership in a new age.
1296,Florida State University College of Law,An enviable record of diversity.
1297,Florida Coastal School of Law in Jacksonville,Law is universal.
1298,Howard University School of Law in Washington,Leading the fight for social justice.
1299,Wayne State University Law School in Detroit,Cutting edge legal theory with real-world practice skills.
1300,"Sandia Casino, Albuquerque",Sandia Casino. The Place to Play!
1301,"Ohkay Casino Resort, New Mexico",Ohkay Casino Resort. Player's Choice
1302,"Akwesasne Mohawk Casino, USA",The North Country's Favorite Playground!
1303,"Seneca Niagara Casino, USA",The fun never stops
1304,"Spirit Lake Casino & Hotel, North Dakota",Catch the winning spirit!
1305,"Winstar Casinos, Oklahoma",Winstar Casinos. Reel Action. Real Winners. Real Close.
1306,"Creek Nation Casinos, Oklahoma",Get Rich Sooner!
1307,"Wildhorse Resort & Casino, Oregon",How do you play?
1308,"The Mill Casino & Hotel, Oregon",Where Even the View is a Winner!
1309,"Gold Dust Gaming, Deadwood, South Dakota, Offers casino games and hotel accommodations",Gold Dust. Good Fun.
1310,Niagara Falls Casino,Your table is ready! Casino Niagara.
1311,"Shangri La casino, Moscow",Closest to Vegas without leaving Moscow
1312,"Lakeside Casino Resort, Osceola Iowa, USA",Experience the Excitement!
1313,"Golden Eagle Casino, Kansas, USA",Golden Eagle. Go Where The Winners Go!
1314,"Casino Magic Biloxi, Hotel & Casino, located on the Gulf Coast in Biloxi, Mississippi",Feel like a winner.
1315,Grand Casino Minnesota,What's your Grand Casino story?
1316,"Seven Clans Casinos, Northwest Minnesota",So many ways to play!
1317,"Palace Casino Hotel, Gaming, bingo hall, and hotel located in Northern Minnesota",We Treat You Like Royalty!
1318,"Shooting Star Casino, Minnesota",It's ALL right Here
1319,"Pearl River Resort, Central Mississippi gaming resort, including two casinos",It's all here!
1320,"Imperial Palace, casino and hotel, Mississippi",IP is the place to be!
1321,"Beau Rivage Hotel and Casino in Biloxi, Mississippi on the Gulf Coast",A feeling like no other
1322,Ameristar Casino Kansas City,Ameristar. More Casino. More Fun.
1323,Owens Community College,Your success starts here.
1324,Owens Community College,Owens is the answer.
1325,Imperial College in London,Where science is leading.
1326,"King's College in Kathmandu, Nepal",Architecting future.
1327,"Loras, Catholic college in Iowa",Be more. Be Loras.
1328,"Loras, Catholic college in Iowa",Educating principled thinkers.
1329,Essex County College,Exceed expectations.
1330,Wheaton College in Illinois,For Christ and his kingdom.
1331,Owensboro Community & Technical College,Higher education begins here.
1332,Northcentral Technical College in Wausau,We are futuremakers.
1333,Conestoga College in Canada,Connect life and learning.
1334,Humber College in Toronto,We are Humber.
1335,Seneca College in Toronto,Because it matters.
1336,Georgian College in Ontario,Accelerate your success.
1337,Cambrian College of Applied Arts and Technology,Learn it. Do it. Live it.
1338,Miami Dade College,The power of opportunity.
1339,Varsity College in South Africa,Take life to the next level.
1340,Rosebank College in South Africa,Your choice. Your career. Your future.
1341,"Haas School of Business, full-time and part-time MBA",Leading through innovation.
1342,"Haskayne School of Business in Calgary, Canada",A better place to think about business.
1343,Stanford Graduate School of Business,Change lives. Change organizations. Change the world.
1344,Stanford Graduate School of Business,Shape the future. Make a difference.
1345,MIT Sloan School of Management,"In the world, for the world."
1346,MIT Sloan School of Management,A great place to learn.
1347,"Insead, business school",The business school for the world.
1348,"Insead, business school","We develop leaders, who develop people, who develop business."
1349,"Insead, business school",Lift your career beyond expectations.
1350,"HEC Paris, top business school in Europe, management programs for undergraduate and postgraduate students, MBA, Master, PhD and Executive education programs","The more you know, the more you dare."
1351,"HEC Paris, top business school in Europe, management programs for undergraduate and postgraduate students, MBA, Master, PhD and Executive education programs",The MBA that builds character.
1352,"HEC Paris, top business school in Europe, management programs for undergraduate and postgraduate students, MBA, Master, PhD and Executive education programs","Local roots, global reach."
1353,"Vlerick Business School, MBA and Masters programs (post-graduate degrees), post-experience management courses",We don't teach. We develop what's already inside you.
1354,"Vlerick Business School, MBA and Masters programs (post-graduate degrees), post-experience management courses",Learning the practical value of knowledge.
1355,"Bentley University in Massachusetts, business school",Business in a whole new light.
1356,"Bentley University in Massachusetts, business school",America's first business university.
1357,"Hult International Business School, MBA, Master program, undergraduate",Get plugged in to the world.
1358,"Sauder School of Business in Vancouver, Canada",Opening worlds.
1359,Keele Management School at Keele University,The thinking manager's MBA.
1360,"Kingston Business School, London",Take control of your career.
1361,"Dublin Business School, undergraduate and postgraduate business education",Excellence through learning.
1362,"IE Business School in Madrid, Spain",Spirit of innovation.
1363,Odette School of Business,We have the degree that works… For business!
1364,Varsity College in Australia,Dare to dream.
1365,Northeast State Community College,We're here to get you there.
1366,Northeastern Technical College,Pathways to a future.
1367,Northeast Texas Community College,Start here. Go anywhere!
1368,Douglas College in British Columbia,Do what you love. Be good at it.
1369,Douglas College in British Columbia,Ignite your potential.
1370,Providence College,Be transformed.
1371,Iona College in New York,Move the world.
1372,Southwest Tech,Here. Now.
1373,Southwest Florida College,A college listening to employers.
1374,Sheridan College in Ontario,Get creative.
1375,Fanshawe College in Canada,Unlocking potential.
1376,Spelman College in Atlanta,A choice to change the world.
1377,Davidson County Community College,Our dedication. Your journey.
1378,Barnet and Southgate College of Further & Higher Education,Taking you to where you want to be.
1379,"Lenox restaurant, New York",Eat. Drink. Lounge. Lenox.
1380,Rock Bottom Restaurants Brewery,Rock Bottom. Good friends. Great Food. Great Beer.
1381,"ROCKFISH Seafood Grill Restaurant, Dallas, Texas",ROCKFISH. Great Seafood. Not a lot of clams.
1382,Red Lobster seafood restaurants,Red Lobster. Life on Land is Dry
1383,Red Lobster seafood restaurants,Share the Love
1384,Jasper White's Summer Shack seafood restaurants,Summer Shack. Food is Love
1385,"Moorea restaurant, Mar del Plata, Argentina",Moorea. Cool Cook
1386,"Penguin Point, an Indiana chain of family restaurants",Penguin Point . The people pleasing place
1387,"Taiwan Chinese Restaurant - Buffet, Hutchinson and Wichita, Kansas","Big City Variety, Small Town Price."
1388,"Casa Rico Mexican Restaurant, Maryland, USA",Casa Rico. We're better… We're fresher… We're tastier!
1389,"Sir Walter Raleigh Inn Restaurant, Maryland",Sir Walter Raleigh. Good food. Good cheer. Good times.
1390,"Sveden House Buffet restaurants, Michigan",Sveden House. Food for the Entire Family!
1391,Baskin-Robbins ice cream specialty shops,More flavors. More fun.
1392,Baskin-Robbins ice cream specialty shops,Baskin-Robbins. What's your flavor?
1393,Haagen Dazs ice cream shops,Haagen Dazs. Made like no other.
1394,Haagen Dazs ice cream shops,Every spoonful brings you closer.
1395,Haagen Dazs ice cream shops,The longer lasting pleasure.
1396,Haagen Dazs ice cream shops,Let your tongue travel.
1397,Haagen Dazs ice cream shops,Fall deeply in Haagen Dazs.
1398,Movenpick ice cream shops,Movenpick. The art of Swiss ice cream.
1399,Ben & Jerry's ice cream shops,Ben & Jerry's. Vermont's finest.
1400,Ben & Jerry's ice cream shops,"Peace, love & ice cream."
1401,Carvel ice cream stores,Carvel. America's freshest ice cream.
1402,Carvel ice cream stores,We're creamy. We're crunchy. We're Carvel.
1403,Graeter's ice cream shops,Irresistible Graeter's.
1404,Graeter's ice cream shops,The best ice cream you'll ever taste.
1405,"Bruster's Ice Cream, chain of ice cream parlors",Treat yourself.
1406,"Marble Slab Creamery, ice cream and dessert stores",Originality in every scoop.
1407,"Marble Slab Creamery, ice cream and dessert stores",Find happiness within.
1408,"Marble Slab Creamery, ice cream and dessert stores",The freshest ice cream on earth.
1409,"Harry Ramsden's, fast food restaurant chain in the United Kingdom which offers fish and chips",World famous fish & chips.
1410,"Harry Ramsden's, fast food restaurant chain in the United Kingdom which offers fish and chips",People who love food love Harry Ramsden's.
1411,"Arthur Treacher's Fish & Chips, fast food seafood restaurant chain",We are something else.
1412,"George's Tradition, fish and chip restaurant chain, UK",First class fish & chips.
1413,"Woolacombe Fryer, traditional fish and chips restaurant",A wholesome harvest from land & sea.
1414,"Graylings, fish and chip shop in England",Freshly cooked everyday.
1415,"Hennighan's Top Shop, traditional fish and chip shop in Machynlleth, Wales",The finest food ever fried!
1416,"Bandana's- Bar-B-Q , Barbecue, Missouri",Bandana's- Bar-B-Q. Smell that smoke
1417,"Ham's Restaurants, North Carolina, USA",Ham's Restaurant. A good time.
1418,"Thai Orchid, Thai restaurant , Oregon, USA",Thai Orchid. The Place To Be For Thai Food!
1419,"Williamson Restaurant, Pennsylvania","Whatever your occasion, Williamson makes it one to remember!"
1420,"IHOP (International House of Pancakes restaurant), chain of restaurants, USA",IHOP restaurant. Come hungry. Leave happy.
1421,"Whitey’s Ice Cream, chain of ice cream stores in Illinois and Iowa",Now you know you're home.
1422,"Cold Rock Ice Creamery, chain of ice cream parlors in Australia",Choose it. Mix it. Smash it. Love it.
1423,"Wendys, ice cream stores in Australia and New Zealand","Wendy's, Wendy's, yum!"
1424,"Cold Stone Creamery, ice cream stores",The ultimate ice cream experience!
1425,Dippin' Dots ice cream stores,Dippin' Dots. Ice cream of the future.
1426,Twistee Treat ice cream shops,America's favorite real ice cream.
1427,"Amy's Ice Creams, chain of ice cream shops in Texas","Life is uncertain, eat dessert first."
1428,"Brits Fish and Chips in Edmonton, Alberta",Brits truly is a great little catch!
1429,"Art’s Fish & Chips, restaurant in Oakville, Canada","We believe quality is not expensive, it's priceless."
1430,"Dick's Fish and Chips in Campbell River, Canada",A new fish & chip experience.
1431,"Dougies Fish and Chips Shop in Harrogate, England","Once visitors find the place, they tend to return."
1432,"Barnacle's, fish and chips restaurants and takeaways",Fish and chips worth forking out for.
1433,"Mister C's fish & chips shop in Selby, England",Fresh from the sea. Straight from the soil.
1434,Hodgson's Chippy in Lancaster,We're passionate about creating delicious fish and chips!
